,data_source,product_id,name,data_source_subcategory,description,ledger_alias,seller_alias,title,sku,image_url,variant,data_source_type,taxonomy,category,sub_category,handle,enable_purl,purl,seller,channel_name,created_at,updated_at,keywords,product_url,imp_words2,product_document,manufacturer,cell,cell_technology,wattage_per_panel,frame,dimension_or_size,weight,pallet_quantity,container_quantity,min_wattage,max_wattage,commercial_residential,breadth,thickness,price,feature_products,max_price,min_price,imp_words,is_inventory,protection,color,module_per_pallet,module_per_container,battery_type,brand
0,https://inxeptionmarketplace-app.inxeption.io,cldc02oefef5k0872r75hv1xu,Tiger Pro 72HC-BDVP. 530-550 Watt. Bifacial Module with Dual Glass (550W),Solar Panels,"<h3>JKM550M-72HL4-BDVP</h3><h3><span style='color:#000'>Product Description</span></h3>Multi Busbar Technology. Better light trapping and current collection to improve module power output and reliability. Reduced Hot Spot Loss. Optimized electrical design and lower operating current for reduced hot spot loss and better temperature coefficient. PID Resistance. Excellent Anti-PID performance guarantee via optimized mass-production process and materials control. Durability Against Extreme Environmental Conditions.High salt mist and ammonia resistance. Enhanced Mechanical Load. Certified to withstand: wind load (2400 Pascal) and snow load (5400 Pascal).<br/><br/><h3><span style='color:#000'>Inxeption Energy Solutions</span></h3>Need assistance with a custom order? We can help you find the right solutions for your business. Request a quote or call us at <a href='tel: 1-888-852-4783'>888.852.4783</a> and select option 4.<br/><br/>To learn more about Inxeption Energy, visit <a href='https://energy.inxeption.com'>energy.inxeption.com</a>.<br/><br/>",inxeptionmarketplace-app,inxeptionmarketplace-app,,JKM550M-72HL4-BDVP,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/d4914ce8-203e-4b25-89ba-008ed96cce78/Tiger%20Pro%2072HC-BDVP.%20530-550%20Watt.%20Bifacial%20Module%20with%20Dual%20Glass%20%28550W%29_img.jpg'],,Products,Solar & Energy Storage >> Solar Panels >>,Solar & Energy Storage,Solar Panels,inxeptionenergymarketplace-tiger-pro-72hc-bdvp-530-550-watt-bifacial-module-with-dual-glass-550w-,TRUE,https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-pro-72hc-bdvp-530-550-watt-bifacial-module-with-dual-glass-550w-,Inxeption Marketplace,inxeptionenergymarketplace,2023-04-14T06:30:45Z,2023-04-14T06:30:45Z,string,,solar module panel PV,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/d5167fe9-3d16-4771-94ef-5a8106137e50/Tiger%20Pro%2072HC-BDVP.%20530-550%20Watt.%20Bifacial%20Module%20with%20Dual%20Glass%20%28550W%29_data.pdf,Jinko Solar,144,Monocrystalline,550,Anodized Aluminum Alloy,2278,14.51,36.0 / pallet,720 / 40ft HQ Container,550,550,Commercial,1134,30,,,,,,,,,,,,
1,https://inxeptionmarketplace-app.inxeption.io,cldc01pxyeeb80872k456lrb6,RSM40-8-390M-415M - 390 - 415 Watt (390W) Steel,Solar Panels,"<h3>RSM40-8-390M</h3><h3><span style='color:#000'>Product Description</span></h3>Global, Tier 1 bankable brand, with independently certified state-of-the-art automated manufacturing. Industry leading lowest thernal co-efficient of power. Industry leading 12 years product warranty. Excellent low irradiance performance. Excellent PID resistance. Positive power tolerance of 0~+3%. Dual stage 100% EL Inspection warranting defect-free product. Module Imp binning radically reduces string mismatch losses. Excellent wind load 2400Pa and snow load 5400Pa under certain installation method. Comprehensive product and system certification. IEC61215:2016; IEC61730-1/-2:2016;.  ISO 9001:2015 Quality Management System.  ISO 14001:2015 Environmental Management System.  ISO 45001:2018 Occupational Health and Safety  Management System<br/><br/><h3><span style='color:#000'>Inxeption Energy Solutions</span></h3>Need assistance with a custom order? We can help you find the right solutions for your business. Request a quote or call us at <a href='tel: 1-888-852-4783'>888.852.4783</a> and select option 4.<br/><br/>To learn more about Inxeption Energy, visit <a href='https://energy.inxeption.com'>energy.inxeption.com</a>.<br/><br/>",inxeptionmarketplace-app,inxeptionmarketplace-app,,RSM40-8-390M,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/2587aa24-a974-4c14-8519-d70bca6f8f94/RSM40-8-390M-415M%20-%20390%20-%20415%20Watt%20%28390W%29%20Steel_img.jpeg'],,Products,Solar & Energy Storage >> Solar Panels >>,Solar & Energy Storage,Solar Panels,inxeptionenergymarketplace-rsm40-8-390m-415m-390-415-watt-390w-steel,TRUE,https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-rsm40-8-390m-415m-390-415-watt-390w-steel,Inxeption Marketplace,inxeptionenergymarketplace,2023-04-14T06:30:45Z,2023-04-14T06:30:45Z,string,,solar module panel PV,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/d7075f86-ec5c-4452-9f58-36377f2d72b9/RSM40-8-390M-415M%20-%20390%20-%20415%20Watt%20%28390W%29%20Steel_data.pdf,Risen Energy,120,Monocrystalline,390,Anodized Aluminum Alloy,1754,22,36.0 / pallet,936 / 40ft HQ Container,390,390,Residential,1096,30,,,,,,,,,,,,
2,https://inxeptionmarketplace-app.inxeption.io,cldc01mziedm10872rhgkdbzj,Mono 470W MBB Half-Cell Module - 445 - 470 Watt (470W),Solar Panels,"<h3>JAM72S20  -470/MR</h3><h3><span style='color:#000'>Product Description</span></h3>Higher output power . Lower LCOE . Less shading and lower resistive loss . Better mechanical loading tolerance<br/><br/><h3><span style='color:#000'>Inxeption Energy Solutions</span></h3>Need assistance with a custom order? We can help you find the right solutions for your business. Request a quote or call us at <a href='tel: 1-888-852-4783'>888.852.4783</a> and select option 4.<br/><br/>To learn more about Inxeption Energy, visit <a href='https://energy.inxeption.com'>energy.inxeption.com</a>.<br/><br/>",inxeptionmarketplace-app,inxeptionmarketplace-app,,JAM72S20  -470/MR,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/efcf0db1-319c-4e1b-b7f3-774b5e815945/Mono%20470W%20MBB%20Half-Cell%20Module%20-%20445%20-%20470%20Watt%20%28470W%29_img.jpg'],,Products,Solar & Energy Storage >> Solar Panels >>,Solar & Energy Storage,Solar Panels,inxeptionenergymarketplace-mono-470w-mbb-half-cell-module-445-470-watt-470w-,TRUE,https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-mono-470w-mbb-half-cell-module-445-470-watt-470w-,Inxeption Marketplace,inxeptionenergymarketplace,2023-04-14T06:30:45Z,2023-04-14T06:30:45Z,string,,solar module panel PV,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/a9aa683e-bf7f-4513-901b-89ae092a45dd/Mono%20470W%20MBB%20Half-Cell%20Module%20-%20445%20-%20470%20Watt%20%28470W%29_data.pdf,JA Solar,144,Monocrystalline,470,,2112,24.5,31.0 / pallet,682 / 40ft HQ Container,470,470,Commercial,1052,35,,,,,,,,,,,,
3,https://inxeptionmarketplace-app.inxeption.io,cldc01lqied9c08721ndajv26,BiHiKu. 435 - 460 Watt. High Power Bifacial Monocrystalline PERC.  (440W),Solar Panels,"<h3>CS3W-440MB-AG</h3><h3><span style='color:#000'>Product Description</span></h3>More power. Up to 30% more power from the back side. 24 % higher front side power than conventional modules. Low NMOT: 41 x 3 xC Low temperature coefficient (Pmax): -0.34 % / xC. Better shading tolerance. More reliable. Minimizes micro-crack impacts. Lower internal current, wind load up to 3600 Pa  <br/><br/><h3><span style='color:#000'>Inxeption Energy Solutions</span></h3>Need assistance with a custom order? We can help you find the right solutions for your business. Request a quote or call us at <a href='tel: 1-888-852-4783'>888.852.4783</a> and select option 4.<br/><br/>To learn more about Inxeption Energy, visit <a href='https://energy.inxeption.com'>energy.inxeption.com</a>.<br/><br/>",inxeptionmarketplace-app,inxeptionmarketplace-app,,CS3W-440MB-AG,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/a0016570-42b4-41c2-b204-372cdf130975/BiHiKu.%20435%20-%20460%20Watt.%20High%20Power%20Bifacial%20Monocrystalline%20PERC.%20%20%28440W%29_img.jpeg'],,Products,Solar & Energy Storage >> Solar Panels >>,Solar & Energy Storage,Solar Panels,inxeptionenergymarketplace-bihiku-435-460-watt-high-power-bifacial-monocrystalline-perc-440w-,TRUE,https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-bihiku-435-460-watt-high-power-bifacial-monocrystalline-perc-440w-,Inxeption Marketplace,inxeptionenergymarketplace,2023-04-14T06:30:45Z,2023-04-14T06:30:45Z,string,,solar module panel PV,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/2df4530b-f01d-4dd3-8f07-d56e9bd2c5db/BiHiKu.%20435%20-%20460%20Watt.%20High%20Power%20Bifacial%20Monocrystalline%20PERC.%20%20%28440W%29_data.pdf,Canadian Solar,144,Monocrystalline,440,Anodized Aluminum Alloy,2132,10.43,35.0 / pallet,910 / 40ft HQ Container,440,440,Commercial,1048,30,,,,,,,,,,,,
4,https://inxeptionmarketplace-app.inxeption.io,cldbzzx7cecsi0872mhaal5op,LG NeON R 60 cell Monocrystalline 365W - 385 Watt (385W),Solar Panels,"<h3>LG NeON R</h3><h3><span style='color:#000'>Product Description</span></h3>LG NeON R is a powerful, high-performing solar module. A cell structure that eliminates electrodes on the front to decrease the possibility of shading and increase the potential for light absorption. LG NeON R features powerful performance and a streamlined design suitable for residential roofs.<br/><br/><h3><span style='color:#000'>Inxeption Energy Solutions</span></h3>Need assistance with a custom order? We can help you find the right solutions for your business. Request a quote or call us at <a href='tel: 1-888-852-4783'>888.852.4783</a> and select option 4.<br/><br/>To learn more about Inxeption Energy, visit <a href='https://energy.inxeption.com'>energy.inxeption.com</a>.<br/><br/>",inxeptionmarketplace-app,inxeptionmarketplace-app,,LG NeON R,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/154af84a-572a-4f73-8f8e-52c5666ab239/LG%20NeON%20R%2060%20cell%20Monocrystalline%20365W%20-%20385%20Watt%20%28385W%29_img.jpeg'],,Products,Solar & Energy Storage >> Solar Panels >>,Solar & Energy Storage,Solar Panels,inxeptionenergymarketplace-lg-neon-r-60-cell-monocrystalline-365w-385-watt-385w-,TRUE,https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-lg-neon-r-60-cell-monocrystalline-365w-385-watt-385w-,Inxeption Marketplace,inxeptionenergymarketplace,2023-04-14T06:30:45Z,2023-04-14T06:30:45Z,string,,solar module panel PV,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/279396e2-a8c4-473e-9f32-11e87742a901/LG+NeON+R+60+cell+Monocrystalline+365W+-+385+Watt+%28385W%29_data.pdf,LG Solar,60,Monocrystalline,385,,1700,17.5,,,385,385,Residential,1016,40,,,,,,,,,,,,
5,https://inxeptionmarketplace-app.inxeption.io,cldbzyxo0eb3g0872o3ta3ucg,Monocrystalline PV Module - Astro 5s - 390 - 405 Watt (395W),Solar Panels,"<h3>CHSM54M(BL)-HC Series (182) - 395</h3><h3><span style='color:#000'>Product Description</span></h3>Output Positive Tolerance. Guaranteed 0-+5W positive tolerance to ensure output. Non-Destructive Cutting. Higher bending strength of cells and mechanical properties of modules. Innovational Multi-Busbar Technology. Higher light absorption, lower risk of microcrack. Innovational Half-Cut Technology. Better shading tolerance, higher reliability. The State of the Art Appearance. Full black designed for a better aesthetic appearance and building integration. PID Resistance. Excellent PID resistance		<br/><br/><h3><span style='color:#000'>Inxeption Energy Solutions</span></h3>Need assistance with a custom order? We can help you find the right solutions for your business. Request a quote or call us at <a href='tel: 1-888-852-4783'>888.852.4783</a> and select option 4.<br/><br/>To learn more about Inxeption Energy, visit <a href='https://energy.inxeption.com'>energy.inxeption.com</a>.<br/><br/>",inxeptionmarketplace-app,inxeptionmarketplace-app,,CHSM54M(BL)-HC Series (182) - 395,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/619d2840-80d2-47bc-ac19-578770e3daf5/Monocrystalline%20PV%20Module%20-%20Astro%205s%20-%20390%20-%20405%20Watt%20%28395W%29_img.jpg'],,Products,Solar & Energy Storage >> Solar Panels >>,Solar & Energy Storage,Solar Panels,inxeptionenergymarketplace-monocrystalline-pv-module-astro-5s-390-405-watt-395w-,TRUE,https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-astro-5s-390-405-watt-395w-,Inxeption Marketplace,inxeptionenergymarketplace,2023-04-14T06:30:45Z,2023-04-14T06:30:45Z,string,,solar module panel PV,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/b4401f15-41af-4345-b498-eb3c76fd217e/Monocrystalline%20PV%20Module%20-%20Astro%205s%20-%20390%20-%20405%20Watt%20%28395W%29_data.pdf,Astronergy,,Monocrystalline,395,Aluminum,1708,21.5,36.0 / pallet,936 / 40ft HQ Container,395,395,Residential,1133,30,,,,,,,,,,,,
6,https://inxeptionmarketplace-app.inxeption.io,cldc1dbfrf57g0872qqxhu3zj,Tiger N Type 66TR. 390-410 Watt. Mono-Facial Module.  (400W),Solar Panels,"<h3>JKM400M-6RL3</h3><h3><span style='color:#000'>Product Description</span></h3>TR technology. TR technology with Half cell aims to eliminate the cell gap to increase module efficiency (mono-facial up to 21.48%). 9BB instead of 5BB. 9BB technology decreases the distance between bus bars and finger grid line which is benefit to power increase. Higher lifetime Power Yield. 2% first year degradation, 0.55% linear degradation. Enhanced Mechanical Load. Certified to withstand: wind load (2400 Pascal) and snow load (5400 Pascal).  Avoid debris, cracks and broken gate risk effectively. 9BB technology using circular ribbon that could avoid debris, cracks and broken gate risk effectively <br/><br/><h3><span style='color:#000'>Inxeption Energy Solutions</span></h3>Need assistance with a custom order? We can help you find the right solutions for your business. Request a quote or call us at <a href='tel: 1-888-852-4783'>888.852.4783</a> and select option 4.<br/><br/>To learn more about Inxeption Energy, visit <a href='https://energy.inxeption.com'>energy.inxeption.com</a>.<br/><br/>",inxeptionmarketplace-app,inxeptionmarketplace-app,,JKM400M-6RL3,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/c29ab3fd-e7f4-400d-b451-59aaca2a392d/Tiger%20N%20Type%2066TR.%20390-410%20Watt.%20Mono-Facial%20Module.%20%20%28400W%29_img.jpg'],,Products,Solar & Energy Storage >> Solar Panels >>,Solar & Energy Storage,Solar Panels,inxeptionenergymarketplace-tiger-n-type-66tr-390-410-watt-mono-facial-module-400w-,TRUE,https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-n-type-66tr-390-410-watt-mono-facial-module-400w-,Inxeption Marketplace,inxeptionenergymarketplace,2023-04-14T06:30:44Z,2023-04-14T06:30:44Z,string,,solar module panel PV,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/35bd395e-861b-4eaa-871b-4e0323c6e777/Tiger%20N%20Type%2066TR.%20390-410%20Watt.%20Mono-Facial%20Module.%20%20%28400W%29_data.pdf,Jinko Solar,132,Monocrystalline,400,Anodized Aluminum Alloy,1855,9.43,36.0 / pallet,864 / 40ft HQ Container,400,400,Residential,1029,30,,,,,,,,,,,,
7,https://inxeptionmarketplace-app.inxeption.io,cldc1b6bnf2100872nwazufgd,Tiger 78TR. 470-490 Watt. Mono-Facial Module.  (490W),Solar Panels,"<h3>JKM490M-7RL3</h3><h3><span style='color:#000'>Product Description</span></h3>TR technology. TR technology with Half cell aims to eliminate the cell gap to increase module efficiency (mono-facial up to 21.48%). 9BB instead of 5BB. 9BB technology decreases the distance between bus bars and finger grid line which is benefit to power increase. Higher lifetime Power Yield. 2% first year degradation, 0.55% linear degradation. Enhanced Mechanical Load. Certified to withstand: wind load (2400 Pascal) and snow load (5400 Pascal).  Avoid debris, cracks and broken gate risk effectively. 9BB technology using circular ribbon that could avoid debris, cracks and broken gate risk effectively <br/><br/><h3><span style='color:#000'>Inxeption Energy Solutions</span></h3>Need assistance with a custom order? We can help you find the right solutions for your business. Request a quote or call us at <a href='tel: 1-888-852-4783'>888.852.4783</a> and select option 4.<br/><br/>To learn more about Inxeption Energy, visit <a href='https://energy.inxeption.com'>energy.inxeption.com</a>.<br/><br/>",inxeptionmarketplace-app,inxeptionmarketplace-app,,JKM490M-7RL3,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/cb4cc6c7-a022-4263-84b8-3371335875a8/Tiger%2078TR.%20470-490%20Watt.%20Mono-Facial%20Module.%20%20%28490W%29_img.jpg'],,Products,Solar & Energy Storage >> Solar Panels >>,Solar & Energy Storage,Solar Panels,inxeptionenergymarketplace-tiger-78tr-470-490-watt-mono-facial-module-490w-,TRUE,https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-78tr-470-490-watt-mono-facial-module-490w-,Inxeption Marketplace,inxeptionenergymarketplace,2023-04-14T06:30:44Z,2023-04-14T06:30:44Z,string,,solar module panel PV,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/53efeb0c-33dc-49d2-aa4d-9c3e1117e7d8/Tiger%2078TR.%20470-490%20Watt.%20Mono-Facial%20Module.%20%20%28490W%29_data.pdf,Jinko Solar,156,Monocrystalline,490,Anodized Aluminum Alloy,2182,11.34,31.0 / pallet,620 / 40ft HQ Container,490,490,Commercial,1029,35,,,,,,,,,,,,
8,https://inxeptionmarketplace-app.inxeption.io,cldc11msgeqbk0872ymdti1tu,Tiger Neo N-type 54HL4 - (V). 410-430 Watt. Mono-Facial Module. N-Type. (420W),Solar Panels,"<h3>JKM420N-54HL4-B</h3><h3><span style='color:#000'>Product Description</span></h3>SMBB Technology. Better light trapping and current collection to improve module power output and reliability. Hot 2.0 Technology. The N-type module with Hot 2.0 technology has better reliability and lower LID/LETID. PID Resistance. Excellent Anti-PID performance guarantee via optimized mass-production process and materials control. Enhanced Mechanical Load. Certified to withstand: wind load (2400 Pascal) and snow load (5400 Pascal). Durability Against Extreme Environmental Conditions. High salt mist and ammonia resistance.<br/><br/><h3><span style='color:#000'>Inxeption Energy Solutions</span></h3>Need assistance with a custom order? We can help you find the right solutions for your business. Request a quote or call us at <a href='tel: 1-888-852-4783'>888.852.4783</a> and select option 4.<br/><br/>To learn more about Inxeption Energy, visit <a href='https://energy.inxeption.com'>energy.inxeption.com</a>.<br/><br/>",inxeptionmarketplace-app,inxeptionmarketplace-app,,JKM420N-54HL4-B,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/13ceb7bd-2ee7-45e5-b013-bc4e17fcad39/Tiger%20Neo%20N-type%2054HL4%20-%20%28V%29.%20410-430%20Watt.%20Mono-Facial%20Module.%20N-Type.%20%28420W%29_img.jpg'],,Products,Solar & Energy Storage >> Solar Panels >>,Solar & Energy Storage,Solar Panels,inxeptionenergymarketplace-tiger-neo-n-type-54hl4-v-410-430-watt-mono-facial-module-n-type-420w-,TRUE,https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-neo-n-type-54hl4-v-410-430-watt-mono-facial-module-n-type-420w-,Inxeption Marketplace,inxeptionenergymarketplace,2023-04-14T06:30:44Z,2023-04-14T06:30:44Z,string,,solar module panel PV,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/b750dc63-1e1e-44d1-88de-acae3f76ab94/Tiger%20Neo%20N-type%2054HL4%20-%20%28V%29.%20410-430%20Watt.%20Mono-Facial%20Module.%20N-Type.%20%28420W%29_data.pdf,Jinko Solar,108,N-type Monocrystalline,420,Anodized Aluminum Alloy,1722,9.98,36.0 / pallet,936 / 40ft HQ Container,420,420,Commercial,1134,30,,,,,,,,,,,,
9,https://inxeptionmarketplace-app.inxeption.io,cldc10o57ep0s0872xliqw8j3,DEEP BLUE 3.0 - JAM72S30 - 530 - 555 Watt (555W),Solar Panels,"<h3>JAM72S30 -555/MR</h3><h3><span style='color:#000'>Product Description</span></h3>Higher output power . Lower LCOE . Less shading and lower resistive loss . Better mechanical loading tolerance<br/><br/><h3><span style='color:#000'>Inxeption Energy Solutions</span></h3>Need assistance with a custom order? We can help you find the right solutions for your business. Request a quote or call us at <a href='tel: 1-888-852-4783'>888.852.4783</a> and select option 4.<br/><br/>To learn more about Inxeption Energy, visit <a href='https://energy.inxeption.com'>energy.inxeption.com</a>.<br/><br/>",inxeptionmarketplace-app,inxeptionmarketplace-app,,JAM72S30 -555/MR,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/f817f85f-c813-4d43-a115-3afdd5618bc9/DEEP%20BLUE%203.0%20-%20JAM72S30%20-%20530%20-%20555%20Watt%20%28555W%29_img.jpg'],,Products,Solar & Energy Storage >> Solar Panels >>,Solar & Energy Storage,Solar Panels,inxeptionenergymarketplace-deep-blue-3-0-jam72s30-530-555-watt-555w-,TRUE,https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-deep-blue-3-0-jam72s30-530-555-watt-555w-,Inxeption Marketplace,inxeptionenergymarketplace,2023-04-14T06:30:44Z,2023-04-14T06:30:44Z,string,,solar module panel PV,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/52ba0cb0-9269-4129-bcbf-bd9da774042d/DEEP%20BLUE%203.0%20-%20JAM72S30%20-%20530%20-%20555%20Watt%20%28555W%29_data.pdf,JA Solar,144,Monocrystalline,555,,2278,28.1,31.0 / pallet,620 / 40ft HQ Container,555,555,Commercial,1134,35,,,,,,,,,,,,
